Created as New Dataset,Sample 001 By Laboratory Date 16 10 2025
cm-1,A
2871.00,3.6242
2870.00,3.6271
2869.00,3.6497
2868.00,3.6691
2867.00,3.6887
2866.00,3.7444
2865.00,3.7600
2864.00,3.6091
2863.00,3.4705
2862.00,3.4394
2861.00,3.5828
2860.00,3.8437
2859.00,3.8133
2858.00,3.5643
2857.00,3.4435
2856.00,3.4738
2855.00,3.4380
2854.00,3.2205
2853.00,2.9979
2852.00,2.8284
2851.00,2.6792
2850.00,2.5258
2849.00,2.3773
2848.00,2.2438
2847.00,2.1228
2846.00,2.0057
2845.00,1.8886
2844.00,1.7737
2843.00,1.6656
2842.00,1.5673
2841.00,1.4789
2840.00,1.3987
2839.00,1.3253
2838.00,1.2582
2837.00,1.1978
2836.00,1.1443
2835.00,1.0974
2834.00,1.0560
2833.00,1.0190
2832.00,0.9847
2831.00,0.9518
2830.00,0.9196
2829.00,0.8879
2828.00,0.8568
2827.00,0.8264
2826.00,0.7969
2825.00,0.7687
2824.00,0.7420
2823.00,0.7166
2822.00,0.6929
2821.00,0.6709
2820.00,0.6508
2819.00,0.6320
2818.00,0.6145
2817.00,0.5981
2816.00,0.5829
2815.00,0.5688
2814.00,0.5553
2813.00,0.5423
2812.00,0.5295
2811.00,0.5168
2810.00,0.5043
2809.00,0.4922
2808.00,0.4803
2807.00,0.4688
2806.00,0.4573
2805.00,0.4458
2804.00,0.4345
2803.00,0.4232
2802.00,0.4120
2801.00,0.4010
2800.00,0.3904
2799.00,0.3801
2798.00,0.3703
2797.00,0.3611
2796.00,0.3525
2795.00,0.3445
2794.00,0.3371
2793.00,0.3303
2792.00,0.3242
2791.00,0.3186
2790.00,0.3133
2789.00,0.3084
2788.00,0.3037
2787.00,0.2993
2786.00,0.2951
2785.00,0.2909
2784.00,0.2867
2783.00,0.2824
2782.00,0.2779
2781.00,0.2734
2780.00,0.2691
2779.00,0.2650
2778.00,0.2611
2777.00,0.2575
2776.00,0.2542
2775.00,0.2511
2774.00,0.2483
2773.00,0.2459
2772.00,0.2439
2771.00,0.2421
2770.00,0.2405
2769.00,0.2392
2768.00,0.2381
2767.00,0.2373
2766.00,0.2367
2765.00,0.2363
2764.00,0.2361
2763.00,0.2362
2762.00,0.2367
2761.00,0.2376
2760.00,0.2387
2759.00,0.2401
2758.00,0.2419
2757.00,0.2442
2756.00,0.2471
2755.00,0.2504
2754.00,0.2541
2753.00,0.2579
2752.00,0.2618
2751.00,0.2656
2750.00,0.2690
2749.00,0.2716
2748.00,0.2733
2747.00,0.2740
2746.00,0.2736
2745.00,0.2724
2744.00,0.2708
2743.00,0.2689
2742.00,0.2670
2741.00,0.2654
2740.00,0.2643
2739.00,0.2637
2738.00,0.2634
2737.00,0.2635
2736.00,0.2636
2735.00,0.2638
2734.00,0.2637
2733.00,0.2633
2732.00,0.2626
2731.00,0.2613
2730.00,0.2596
2729.00,0.2577
2728.00,0.2557
2727.00,0.2538
2726.00,0.2521
2725.00,0.2507
2724.00,0.2497
2723.00,0.2491
2722.00,0.2487
2721.00,0.2483
2720.00,0.2479
2719.00,0.2471
2718.00,0.2458
2717.00,0.2441
2716.00,0.2422
2715.00,0.2401
2714.00,0.2379
2713.00,0.2356
2712.00,0.2331
2711.00,0.2302
2710.00,0.2271
2709.00,0.2237
2708.00,0.2202
2707.00,0.2168
2706.00,0.2136
2705.00,0.2108
2704.00,0.2087
2703.00,0.2070
2702.00,0.2058
2701.00,0.2050
2700.00,0.2044
2699.00,0.2040
2698.00,0.2036
2697.00,0.2032
2696.00,0.2029
2695.00,0.2027
2694.00,0.2025
2693.00,0.2022
2692.00,0.2018
2691.00,0.2013
2690.00,0.2006
2689.00,0.1999
2688.00,0.1994
2687.00,0.1988
2686.00,0.1983
2685.00,0.1978
2684.00,0.1973
2683.00,0.1970
2682.00,0.1967
2681.00,0.1967
2680.00,0.1967
2679.00,0.1968
2678.00,0.1968
2677.00,0.1966
2676.00,0.1965
2675.00,0.1964
2674.00,0.1962
2673.00,0.1959
2672.00,0.1955
2671.00,0.1949
2670.00,0.1941
2669.00,0.1931
2668.00,0.1919
2667.00,0.1905
2666.00,0.1891
2665.00,0.1876
2664.00,0.1861
2663.00,0.1846
2662.00,0.1830
2661.00,0.1815
2660.00,0.1801
2659.00,0.1787
2658.00,0.1772
2657.00,0.1757
2656.00,0.1743
2655.00,0.1728
2654.00,0.1714
2653.00,0.1699
2652.00,0.1684
2651.00,0.1670
2650.00,0.1657
2649.00,0.1644
2648.00,0.1632
2647.00,0.1622
2646.00,0.1613
2645.00,0.1605
2644.00,0.1599
2643.00,0.1594
2642.00,0.1589
2641.00,0.1582
2640.00,0.1574
2639.00,0.1566
2638.00,0.1558
2637.00,0.1549
2636.00,0.1540
2635.00,0.1531
2634.00,0.1520
2633.00,0.1509
2632.00,0.1496
2631.00,0.1485
2630.00,0.1473
2629.00,0.1463
2628.00,0.1453
2627.00,0.1442
2626.00,0.1431
2625.00,0.1420
2624.00,0.1410
